Name,Car_Type,Drive_Wheels_Available,Seating,Engine_liter,HP,Length_in,Width_in,Height_in,Wheelbase_in,Weight_lbs,Cargo_Volume_cuft,Overall_MPG,Lowest_MSRP,Parent_Company_HQ,Manufacturer_Type
Infinity QX30,SUV,"Front, AWD",5,2,208,174,72,60,106,3540,21.5,25,30250,Japan,Foreign
Infinity QX50,SUV,"Front, AWD",5,2,268,185,75,66,110,4155,30.5,22,36650,Japan,Foreign
Infinity QX60,SUV,"Front, AWD",7,3.5,295,201,77,69,114,4530,39,19,44350,Japan,Foreign
Infinity QX80,SUV,"Rear, AWD",8,5.6,400,210,80,76,121,5990,49.5,15,65500,Japan,Foreign
Jaguar E-Pace,SUV,AWD,5,2,246,173,82,65,106,4130,21.5,21,38900,India,Foreign
Jaguar F-Pace,SUV,AWD,5,2,180,186,87,66,113,4350,28.5,20,44800,India,Foreign
Jaguar I-Pace,SUV,AWD,5,NA,394,184,75,61,118,4920,25.5,76,69500,India,Foreign
Kia Cadenza,Sedan,Front,5,3.3,290,196,74,58,112,3725,16,24,33100,Korea,Foreign
Kia Forte,Sedan,Front,5,2,147,183,71,57,106,2805,15,34,17790,Korea,Foreign
Kia K900,Sedan,4WD,5,3.3,365,202,75,59,122,4735,15,21,59900,Korea,Foreign
Kia Niro,Wagon,Front,5,NA,201,172,71,60,106,3155,19,43,38500,Korea,Foreign
Kia Optima,Sedan,Front,5,1.6,178,191,73,58,110,3300,16,28,22990,Korea,Foreign
Kia Rio,Sedan,Front,5,1.6,130,173,68,57,102,2575,14,33,15390,Korea,Foreign
Kia Sedona,Minivan,Front,8,3.3,276,201,78,69,121,4595,46,20,27200,Korea,Foreign
Kia Sorento,SUV,"Front, AWD",7,2.4,185,189,74,66,109,4285,37.5,22,26290,Korea,Foreign
Kia Soul,Wagon,Front,5,NA,201,165,71,63,102,2995,24,108,33950,Korea,Foreign
Kia Sportage,SUV,"Front, AWD",5,2,240,176,73,64,105,3485,29.5,23,23990,Korea,Foreign
Kia Stinger,Hatchback,"Rear, AWD",5,2,255,190,74,55,114,3910,23,23,32990,Korea,Foreign
Kia Telluride,SUV,"Front, AWD",8,3.8,291,197,78,69,114,4300,47.5,21,31690,Korea,Foreign
Land Rover Discovery,SUV,AWD,7,3,254,196,82,74,115,5405,42.5,17,52950,India,Foreign
Land Rover Discovery Sport,SUV,AWD,7,2,246,181,82,68,108,4325,33,21,37990,India,Foreign
Land Rover Range Rover,SUV,4WD,5,2,254,197,78,72,115,5300,34.7,17,89500,India,Foreign
Land Rover Range Rover Evoque,SUV,AWD,5,2,246,172,79,65,106,3935,21.5,23,42650,India,Foreign
Land Rover Range Rover Sport,SUV,4WD,7,2,398,191,78,70,115,5255,31.5,18,68650,India,Foreign
Land Rover Range Rover Velar,SUV,AWD,5,2,180,189,80,66,113,4350,29,21,49950,India,Foreign
Lexus ES,Sedan,Front,5,2.5,215,196,73,57,113,3770,17,25,39750,Japan,Foreign
Lexus GS,Sedan,"Rear, AWD",5,2,241,192,72,57,112,3845,16,21,46860,Japan,Foreign
Lexus GX,SUV,4WD,7,4.6,301,192,74,74,110,5170,36.5,17,52500,Japan,Foreign
Lexus IS,Sedan,"Rear, AWD",5,2,241,184,71,56,110,3850,14,20,38560,Japan,Foreign
Lexus US,Sedan,"Rear, AWD",5,3.5,354,206,75,58,123,5170,17,20,75450,Japan,Foreign
Lexus UX,SUV,"Front, AWD",5,2,169,177,72,60,104,3570,18,37,32150,Japan,Foreign
Maserati Ghibli,Sedan,"Rear, AWD",5,3,345,196,77,58,118,4625,18,19,74980,Italy,Foreign
Maserati Levante,SUV,AWD,5,3,345,197,78,66,118,4905,20.5,16,75980,Italy,Foreign
Mazda 3,Sedan,"Front, AWD",5,3,345,184,71,57,107,3025,13,30,21000,Japan,Foreign
Mazda 6,Sedan,Front,5,2.5,186,192,72,57,111,3405,15,28,23800,Japan,Foreign
Mazda CX-3,SUV,"Front, AWD",5,2,187,168,70,61,101,2945,18,28,20390,Japan,Foreign
Mazda CX-5,SUV,"Front, AWD",5,2.2,250,179,73,66,106,3590,30.5,24,24350,Japan,Foreign
Mazda CX-9,SUV,"Front, AWD",7,2.5,227,200,76,68,113,4585,34,32,32280,Japan,Foreign
Mazda Mx-5 Miata,Convertible,Rear,2,2,181,154,68,49,91,2335,5,34,25730,Japan,Foreign
Mercedes-Benz A Class,Sedan,"Front, AWD",5,2,188,179,71,57,107,3425,9,28,32500,Germany,Foreign
Mercedes-Benz C Class,Sedan,"Rear, AWD",5,2,255,185,71,57,112,3670,13,26,41400,Germany,Foreign
Mercedes-Benz CLA,Sedan,"Front, AWD",5,2,221,185,72,57,107,3335,16,27,33100,Germany,Foreign
Mercedes-Benz CLS,Sedan,"Rear, AWD",5,3,362,199,74,55,116,4255,12,26,69200,Germany,Foreign
Mercedes-Benz E-Class,Sedan,"Rear, AWD",5,2,255,194,73,57,116,4030,16,24,53500,Germany,Foreign
Mercedes-Benz GLA,SUV,"Front, AWD",5,2,208,174,71,60,106,3535,23,26,33950,Germany,Foreign
Mercedes-Benz GLC,SUV,"Rear, AWD",5,2,241,183,74,65,113,4010,28,22,40700,Germany,Foreign
Mercedes-Benz GLE,SUV,"Rear, AWD",5,2,255,194,77,71,118,5150,36.5,20,53700,Germany,Foreign
Mercedes-Benz GLS,SUV,AWD,7,3,362,205,77,73,123,5660,16,18,75200,Germany,Foreign
Mercedes-Benz S-Class,Sedan,"Rear, AWD",5,3,362,207,75,59,125,4935,16,18,91250,Germany,Foreign
Mini Cooper,Hatchback,Front,4,1.5,134,151,68,56,98,2775,9,30,21900,Germany,Foreign
Mini Cooper Clubman,Wagon,"Front, AWD",5,1.5,134,168,71,57,105,3175,23,28,24900,Germany,Foreign
Mini Cooper Countryman,SUV,"Front, AWD",5,1.5,134,170,72,61,105,3690,23.5,25,26900,Germany,Foreign
