x,f(x),evenly_spaced_n10,evenly_spaced_n10_absolute_error,chebyshev_n10,chebyshev_n10_absolute_error,evenly_spaced_n20,evenly_spaced_n20_absolute_error,chebyshev_n20,chebyshev_n20_absolute_error
-2.700000000000000178e-01,1.309964450733247299e+00,1.336331541072129481e+00,2.636709033888218201e-02,1.305047284974631738e+00,4.917165758615560378e-03,1.300486139174123812e+00,9.478311559123486774e-03,1.316072907233889033e+00,6.108456500641734621e-03
-2.600000000000000089e-01,1.296930086665771809e+00,1.320933567003589548e+00,2.400348033781773971e-02,1.287680422055889062e+00,9.249664609882746191e-03,1.285986981943102681e+00,1.094310472266912804e-02,1.305342828878092387e+00,8.412742212320578616e-03
-2.500000000000000000e-01,1.284025416687741394e+00,1.305093915195888021e+00,2.106849850814662695e-02,1.270362176803764287e+00,1.366323988397710743e-02,1.272690008492035840e+00,1.133540819570555414e-02,1.294476110251538525e+00,1.045069356379713099e-02
-2.399999999999999911e-01,1.271249150321404731e+00,1.288865128550351846e+00,1.761597822894711562e-02,1.253140192420944654e+00,1.810895790046007647e-02,1.260595155339398588e+00,1.065399498200614303e-02,1.283362192756748010e+00,1.211304243534327973e-02
-2.299999999999999822e-01,1.258600009929477848e+00,1.272308621074727197e+00,1.370861114524934976e-02,1.236064182468678885e+00,2.253582746079896282e-02,1.249614853088511168e+00,8.985156840966679326e-03,1.271901159176203944e+00,1.330114924672609611e-02
-2.199999999999999734e-01,1.246076730587380776e+00,1.255493878790591822e+00,9.417148203211045399e-03,1.219185579524344476e+00,2.689115106303630043e-02,1.239583343700737306e+00,6.493386886643470746e-03,1.260008101300133632e+00,1.393137071275285521e-02
-2.099999999999999645e-01,1.233678059956743178e+00,1.238497596188819827e+00,4.819536232076648830e-03,1.202557174791506700e+00,3.112088516523647819e-02,1.230271033227673394e+00,3.407026729069784210e-03,1.247617064689192645e+00,1.393900473244946703e-02
-1.999999999999999556e-01,1.221402758160169855e+00,1.221402758160169855e+00,0.000000000000000000e+00,1.186232751186995449e+00,3.517000697317440583e-02,1.221402758160169855e+00,0.000000000000000000e+00,1.234684433621584088e+00,1.328167546141423294e-02
-1.899999999999999467e-01,1.209249597657251485e+00,1.204297677375102182e+00,4.951920282149302466e-03,1.170266712407008525e+00,3.898288525024296014e-02,1.212678676422025426e+00,3.429078764773940691e-03,1.221191638674006263e+00,1.194204101675477858e-02
-1.799999999999999378e-01,1.197217363121810152e+00,1.187274997072713445e+00,9.942366049096706959e-03,1.154713710440615992e+00,4.250365268119415951e-02,1.203796406979553923e+00,6.579043857743771540e-03,1.207147092267937483e+00,9.929729146127330708e-03
-1.699999999999999289e-01,1.185304851320365449e+00,1.170430669145958280e+00,1.487418217440716894e-02,1.139628273954864879e+00,4.567657736550057024e-02,1.194473034165786096e+00,9.168182845420647098e-03,1.192587283086978367e+00,7.282431766612917912e-03
-1.600000000000000311e-01,1.173510870991810284e+00,1.153862917281812894e+00,1.964795370999738999e-02,1.125064439921386494e+00,4.844643107042378993e-02,1.184465659582120800e+00,1.095478859031051577e-02,1.177576987690584165e+00,4.066116698773880600e-03
-1.500000000000000222e-01,1.161834242728283062e+00,1.137671194733455460e+00,2.416304799482760224e-02,1.111075390790546180e+00,5.075885193773688187e-02,1.173589318100223711e+00,1.175507537194064867e-02,1.162208586036837188e+00,3.743433085541258976e-04
